orig,dest
20598,21871
20598,21591
4218,4820
4225,4225
4233,4233
12428,12428
12429,31197
12429,12429
12429,17481
12441,12441
12441,17481
12441,21591
12444,18284
12444,12444
12444,17432
12446,16126
12446,27470
12446,18284
12446,17481
12446,12446
12446,17432
4257,4820
4257,4257
4257,4627
4258,4258
4261,4261
4261,31197
20647,20647
12459,31197
12459,12459
12459,17432
12466,17481
12466,12466
12471,18284
12471,12471
20668,21871
20668,20668
20668,9217
12478,12478
12481,18284
12489,12489
12489,21871
12493,12493
4304,4304
4304,27470
4304,31175
4307,4307
4311,4820
4311,4627
4311,4311
4311,27470
4311,31200
4311,31197
4316,4316
28897,29700
28897,31197
28897,31175
28897,28897
28897,9217
12520,18284
12520,12520
28906,31200
28906,28906
28906,29700
28906,31175
12527,31197
12527,12527
12527,21871
12529,12529
12529,21871
12530,12530
28931,31175
12562,17432
12564,4820
12564,29700
12564,18284
12564,12564
12564,17432
4375,4375
12579,17432
22578,22578
22578,31200
28985,31197
28985,28985
28985,21871
12602,12602
28995,29700
28995,31197
28995,28995
12618,12618
12618,17481
29016,29700
29016,31197
12652,17432
12652,12652
4462,31175
4462,4462
12656,18284
12656,12656
12656,17432
12664,18284
12664,12664
12677,12677
12677,17432
12682,18284
12682,17481
12682,17432
12682,12682
29080,29080
29098,29098
29100,29100
12718,29700
12718,31197
12718,31175
12718,12718
12718,21871
29132,31200
29132,29132
29132,29700
29132,31197
29132,31175
4576,4576
12775,31197
12775,12775
12775,21871
17148,17148
17148,21871
29173,31197
29173,29173
20985,21871
20985,20985
20985,21591
12804,12804
3500,3500
21003,21871
21003,9217
21003,21591
4627,4820
4627,4627
4627,31197
4633,4633
4633,31197
29210,30223
29210,29210
4656,4656
4656,4627
29234,29234
29236,29700
29236,31197
29236,29236
29236,31175
12879,12879
12879,11596
21081,21081
21081,21871
21081,9217
12891,12891
12891,21871
12896,12896
12899,12899
12901,12901
12902,18284
12902,17432
12902,12902
12904,21871
12917,12917
12917,21871
12917,21591
12935,12935
21128,21128
21128,31197
21128,21871
12942,12942
12952,12952
21147,21147
21147,21591
21151,21151
21151,21871
12969,12969
12993,17432
12993,12993
21188,21188
21188,21871
21188,21591
12998,12998
13001,13001
29391,29391
29393,29393
29394,29394
13011,13011
13011,21871
4820,4820
4820,4820
4820,4627
13016,13016
29403,31197
29403,29403
21216,21216
21216,21871
21216,21591
13033,13033
13034,13034
13034,21871
4850,4850
4860,4860
29440,29440
29440,30223
13062,13062
21256,21256
21256,21871
13069,13069
13073,13073
13084,13084
21296,21296
21296,21871
21302,12142
21302,12969
21302,21256
21302,19482
21302,19345
21302,19114
21302,21324
21302,21302
21302,20217
21302,19196
21302,19373
21302,18962
21302,19826
21302,19924
21302,19162
21302,21718
21302,20668
21302,21469
21302,19031
21302,20045
4921,4921
4921,29700
13119,17481
13119,17432
13119,13119
4935,4935
4935,31197
21324,21324
21324,21871
13139,13139
29536,29700
29536,31197
29536,31175
29536,29536
13154,13154
14481,14481
13162,13162
29550,29550
29550,29700
13168,17432
13168,13168
13174,13174
13175,13175
18580,18580
18580,21871
18580,9217
13205,13205
21401,21401
13211,13211
13214,13214
13216,13216
13216,21871
13218,13218
29603,27470
29603,29603
5041,5041
22686,29700
22686,22686
22686,31175
13239,13239
21433,21871
21433,9217
21433,21433
21433,21591
21442,21871
21442,21442
21442,21591
21445,21445
21445,21871
21447,21447
21447,21871
27174,31200
27174,31175
27174,27174
13260,13260
5069,5069
5080,4627
21469,21871
21469,21469
21469,21591
13279,9217
13279,21591
13279,13279
13292,13292
29700,31200
29700,29700
29700,31197
29700,31175
5125,4627
5125,5125
29710,29710
29710,27470
29720,30223
29720,29700
29720,31197
29720,31175
13342,13342
5167,4820
5167,4627
17246,17481
13379,13379
13379,16126
21580,31175
21580,21580
5203,5203
21591,21871
21591,9217
21591,21591
13401,13401
13401,16126
13401,4820
13407,13407
21610,21871
21610,21610
21610,21591
29812,29812
29812,21871
13447,13447
13447,31197
29836,29836
21651,21651
5271,5271
5271,31197
5276,5276
13470,13470
13475,13475
13475,16126
13477,13477
13480,13480
13480,16126
13480,4820
13480,4627
13481,13481
13481,16126
21686,21871
21686,21591
21686,21686
29886,31197
29886,31175
29886,29886
21708,21871
21708,21591
21708,21708
21715,21715
21715,21871
21715,21591
21718,21718
21718,21871
21721,21721
13532,13532
13532,21871
13532,13532
13533,13533
13533,16126
13540,13540
13540,4627
13544,13544
13544,16126
5361,5361
13559,16126
13560,13560
13560,13560
13560,4820
21754,21754
21754,21871
13579,16126
5395,4820
5395,5395
13588,16126
13590,16126
13590,18284
13590,17432
13594,13594
13597,13597
13597,4627
13604,13604
13604,13604
13604,13604
13604,13604
13605,13605
13605,17432
5421,5421
13616,13616
21810,21810
21810,21871
13621,17432
13632,13632
13632,13632
30017,30017
30017,30223
13641,16126
13641,21871
5464,16126
5464,5464
5464,4820
5464,4627
30053,30053
21862,21862
13676,16126
13676,17432
21871,21871
21871,21591
18664,18664
18664,21871
13685,13685
13685,16126
13689,13689
21900,21871
21900,21900
13710,21871
5521,5521
21911,21911
21911,21871
13723,16126
13723,13723
5533,5533
5534,5534
5534,4820
21933,21933
21933,21871
21933,21591
21940,21940
21940,21871
30140,30223
13757,13757
21950,21950
21950,21591
13762,13762
13762,17481
30157,30223
30157,30157
3661,3661
21983,21983
21983,21871
21983,21591
21986,21986
13799,13799
13799,11596
30186,30186
30186,31197
13803,16126
13819,17432
30208,30208
30208,30223
13832,13832
13832,18284
13836,13836
13836,16126
30223,30223
13844,13844
13844,16126
13863,13863
13863,16126
13867,13867
13867,16126
13867,11596
13868,13868
22076,27470
22076,22076
13889,13889
13889,16126
13889,21871
13892,17481
30285,30285
30293,30293
30293,30223
13919,16126
30305,30305
30305,21871
13930,4820
13930,18284
13934,16126
22127,27470
22127,22127
22127,9217
5744,5744
5744,31175
13937,17432
13946,13946
22139,22139
5763,5763
13962,13962
13962,16126
30349,31197
30349,31175
30349,30349
5776,5776
5776,4820
13978,13978
