orig,dest,trips
16966,13594,1.0
16966,17639,1.0
16966,14290,2.0
16966,13560,1.0
16966,13559,1.0
16966,13920,6.0
16966,13965,6.0
16966,13986,9.0
16966,13919,3.0
16966,13884,1.0
16966,18170,2.0
16966,15425,6.0
16966,13836,5.0
16966,13590,3.0
16966,13616,5.0
16966,15919,2.0
16966,13522,3.0
16966,13944,4.0
16966,13819,3.0
16966,13447,1.0
16966,13897,3.0
16966,13910,2.0
16966,13898,1.0
16966,16750,2.0
16966,13532,1.0
16966,13532,2.0
16966,17491,3.0
16966,17490,2.0
16966,16130,3.0
16966,16284,1.0
16966,13560,4.0
16966,17130,2.0
16966,13844,1.0
16966,16406,2.0
16966,18165,2.0
16966,16565,2.0
16966,14164,1.0
16966,16132,1.0
16966,13762,1.0
16966,14057,1.0
16966,13624,2.0
16966,13623,1.0
16966,13533,1.0
16966,16546,3.0
16966,15405,3.0
16966,13530,3.0
16966,13406,1.0
16966,13632,1.0
16966,13407,1.0
16966,15403,1.0
16966,13632,1.0
16966,17056,2.0
16966,17057,1.0
16966,14020,2.0
16966,14020,1.0
16966,15950,1.0
16966,17600,1.0
16966,17185,1.0
16966,13379,2.0
16966,17184,2.0
16966,14237,2.0
16966,13604,1.0
16966,13604,5.0
16966,16352,2.0
16966,13867,2.0
16966,13480,3.0
16966,13868,2.0
16966,13946,2.0
16966,13481,2.0
16966,15386,1.0
16966,13475,3.0
16966,16126,1.0
16966,14335,2.0
16966,3335,1.0
16966,3893,1.0
16966,17400,1.0
16966,16836,1.0
16966,13723,1.0
16966,16435,2.0
16966,3276,1.0
16966,3713,1.0
16966,3801,2.0
16966,5464,1.0
16966,3557,4.0
16966,5776,1.0
16966,3440,1.0
16966,6125,1.0
16966,4820,1.0
16966,3282,3.0
16966,4257,1.0
16966,5675,1.0
16966,4627,1.0
16966,5968,1.0
16966,3753,1.0
16966,4576,1.0
16966,3500,1.0
16966,3740,1.0
16966,5069,1.0
16966,6081,2.0
16966,3783,2.0
16966,3882,1.0
16966,18700,1.0
16966,31197,1.0
16966,30349,1.0
16966,28993,1.0
16966,30671,1.0
16966,4462,1.0
16966,18564,1.0
16966,20065,1.0
16966,18709,1.0
16966,18706,1.0
16966,18422,1.0
16966,12718,1.0
16966,18449,1.0
16966,11996,1.0
16966,12285,2.0
16966,12300,1.0
16966,11983,1.0
16966,12429,1.0
16966,18163,1.0
16966,12520,1.0
16966,12353,1.0
16966,12207,2.0
16966,16076,2.0
16966,12664,2.0
16966,11940,2.0
16966,11947,1.0
16966,12096,1.0
16966,12292,1.0
16966,12096,2.0
16966,12291,1.0
16966,16943,1.0
16966,17481,1.0
16966,12446,1.0
16966,12444,1.0
16966,16650,2.0
16966,12677,1.0
16966,12562,1.0
16966,12175,1.0
16966,12579,1.0
16966,12652,1.0
16966,12039,1.0
16966,11883,2.0
16966,12160,1.0
16966,12478,1.0
16966,12530,1.0
16966,12493,1.0
16966,11916,1.0
16966,14380,1.0
16966,12238,1.0
16966,12899,1.0
16966,13019,1.0
16966,12879,1.0
16966,13205,1.0
16966,17523,1.0
16966,17148,1.0
16966,19044,1.0
16966,21983,1.0
16966,19990,1.0
16966,20540,1.0
16966,19482,1.0
16966,21324,1.0
16966,20104,1.0
16966,19924,1.0
16966,18936,1.0
16966,21447,1.0
16966,20668,1.0
16966,20581,1.0
16966,20551,2.0
16966,21610,1.0
16966,20547,1.0
16966,19457,1.0
16966,10874,1.0
16966,10828,1.0
16966,7856,1.0
16966,8114,1.0
16966,8111,1.0
16966,8000,1.0
16966,8109,1.0
16966,10286,1.0
16966,10266,1.0
16966,10001,1.0
16966,9549,1.0
16966,6857,1.0
16966,11435,1.0
16966,14539,1.0
16966,17967,1.0
16966,11521,1.0
16966,10994,1.0
16966,9754,1.0
16966,6580,2.0
16966,14725,1.0
16966,14680,2.0
16966,11649,2.0
16966,14656,1.0
16966,17323,1.0
16966,14717,1.0
16966,14627,1.0
16966,16428,1.0
16966,14614,1.0
13930,13676,1.0
13930,14093,1.0
13930,14171,1.0
13930,14211,2.0
13930,13990,1.0
13930,16787,1.0
13930,16786,2.0
13930,18136,1.0
13930,13679,1.0
13930,14125,1.0
13930,13795,2.0
13930,16521,1.0
13930,18011,1.0
13930,15994,1.0
13930,14182,2.0
13930,14048,1.0
13930,18010,1.0
13930,14084,1.0
13930,15641,1.0
13930,17997,2.0
13930,18021,1.0
13930,15368,1.0
13930,13470,1.0
13930,13588,2.0
13930,15301,1.0
