LINK,A,B,a0,a1,a2,a3,a4
41125,19169,20032,5.12491363025,0.0,0.0,0.0,1.17167664157e-12
41126,19169,19522,3.10236206634,0.0,0.0,0.0,7.09273449094e-13
41127,19170,20032,2.56768919479,0.0,0.0,0.0,5.87034566709e-13
41128,19170,19248,45.0079723793,0.0,0.0,0.0,1.02898885184e-11
41129,19170,19439,26.3092909162,0.0,0.0,0.0,6.01492704989e-12
41130,19171,21915,52.2947414546,0.0,0.0,0.0,1.19558165191e-11
41131,19171,21743,77.6548558357,0.0,0.0,0.0,1.77537393314e-11
41132,19172,21653,60.7767135159,0.0,0.0,0.0,1.38949962313e-11
41133,19172,19092,23.6232691461,0.0,0.0,0.0,5.4008388537e-12
41134,19173,21318,1.56402203267,0.0,0.0,0.0,3.57572481177e-13
41135,19173,20523,79.6736204728,0.0,0.0,0.0,1.19510430709e-11
41136,19174,21320,3.15306666257,0.0,0.0,0.0,7.20865720753e-13
41137,19174,19173,1.06026671885,0.0,0.0,0.0,1.59040007828e-13
41138,19175,21317,92.2725254681,0.0,0.0,0.0,1.38408788202e-11
41139,19175,21319,50.7173849422,0.0,0.0,0.0,7.60760774134e-12
41140,19176,19854,1.74901661389,0.0,0.0,0.0,3.99866624117e-13
41141,19176,19184,87.6692685705,0.0,0.0,0.0,2.00432712781e-11
41142,19176,19272,11.4879667261,0.0,0.0,0.0,1.72319500892e-12
41143,19177,18908,20.9571725767,0.0,0.0,0.0,4.79130603034e-12
41144,19177,19439,214.757682102,0.0,0.0,0.0,4.90986927531e-11
41145,19177,19438,91.1341024034,0.0,0.0,0.0,2.08354143583e-11
41146,19178,20229,0.726990159334,0.0,0.0,0.0,1.66207169486e-13
41147,19178,19389,41.7319284301,0.0,0.0,0.0,9.54090727712e-12
41148,19178,19473,58.5492261401,0.0,0.0,0.0,8.78238392101e-12
41149,19179,20243,9.46348095267,0.0,0.0,0.0,2.16357589224e-12
41150,19179,20229,88.8977994216,0.0,0.0,0.0,2.03241425289e-11
41151,19180,16544,1.48568281912,0.0,0.0,0.0,3.39662281462e-13
41152,19180,21348,2.35470290189,0.0,0.0,0.0,5.38340855484e-13
41153,19180,20484,9.28885469887,0.0,0.0,0.0,2.12365219453e-12
41154,19181,21872,2.30816714483,0.0,0.0,0.0,5.27701679202e-13
41155,19181,21993,22.8888027386,0.0,0.0,0.0,5.23292243681e-12
41156,19182,22001,13.3081650087,0.0,0.0,0.0,3.04256173038e-12
41157,19182,22003,0.773157329463,0.0,0.0,0.0,1.76762078067e-13
41158,19182,22004,11.1138175609,0.0,0.0,0.0,2.5408819298e-12
41159,19183,19875,3.21000701056,0.0,0.0,0.0,3.69473109924e-14
41160,19183,18995,8.71212807431,0.0,0.0,0.0,1.99179882815e-12
41161,19184,19176,87.6692685705,0.0,0.0,0.0,2.00432712781e-11
41162,19184,20808,4.60278989119,0.0,0.0,0.0,1.05230678811e-12
41163,19184,20052,70.0385666456,0.0,0.0,0.0,1.60124752276e-11
41164,19185,20094,2.9873164731,0.0,0.0,0.0,1.09398796622e-12
41165,19185,20018,108.287755163,0.0,0.0,0.0,3.9656160338e-11
41166,19185,21755,29.9107042844,0.0,0.0,0.0,1.09536270573e-11
41167,19186,20841,1.36781881554,0.0,0.0,0.0,3.12715778588e-13
41168,19186,19048,149.586946827,0.0,0.0,0.0,3.41991190735e-11
41169,19186,19838,17.9777765789,0.0,0.0,0.0,4.11014553702e-12
41170,19187,21951,0.69414727826,0.0,0.0,0.0,1.58698508976e-13
41171,19187,21179,75.0605168664,0.0,0.0,0.0,1.71606119951e-11
41172,19188,21237,1.15392605468,0.0,0.0,0.0,2.63814827316e-13
41173,19188,21237,77.6203315201,0.0,0.0,0.0,1.77458462552e-11
41174,19189,21011,52.4175016077,0.0,0.0,0.0,1.19838823977e-11
41175,19189,21017,48.3160551941,0.0,0.0,0.0,1.10461946031e-11
41176,19190,21017,1.9143798563,0.0,0.0,0.0,4.3767257803e-13
41177,19190,19191,95.3327982891,0.0,0.0,0.0,2.17953356857e-11
41178,19190,20034,27.2302311466,0.0,0.0,0.0,6.22547579942e-12
41179,19191,19190,94.5177635646,0.0,0.0,0.0,2.16089994432e-11
41180,19191,19192,60.597977958,0.0,0.0,0.0,1.38541330494e-11
41181,19192,19191,60.597977958,0.0,0.0,0.0,1.38541330494e-11
41182,19192,20155,43.5800043914,0.0,0.0,0.0,9.96342121431e-12
41183,19193,19922,2.34982224177,0.0,0.0,0.0,5.3722502098e-13
41184,19193,19370,21.0606811206,0.0,0.0,0.0,4.81497053513e-12
41185,19194,20642,0.237431334133,0.0,0.0,0.0,5.42824266422e-14
41186,19194,20823,20.3378697408,0.0,0.0,0.0,4.64971873361e-12
41187,19195,21373,1.4195931905,0.0,0.0,0.0,3.24552627002e-13
41188,19195,20739,3.98767697209,0.0,0.0,0.0,9.116774056e-13
41189,19196,20587,53.6812158026,0.0,0.0,0.0,1.22727973943e-11
41190,19196,20521,23.8362895025,0.0,0.0,0.0,5.44954035264e-12
41191,19197,20074,72.5428311823,0.0,0.0,0.0,1.65850094152e-11
41192,19197,21866,26.5333462242,0.0,0.0,0.0,6.06615140013e-12
41193,19197,21866,26.3873341929,0.0,0.0,0.0,6.03276959143e-12
41194,19198,19524,0.8578054244,0.0,0.0,0.0,1.96114637494e-13
41195,19198,21992,7.65736821969,0.0,0.0,0.0,1.75065574296e-12
41196,19199,19374,195.48354934,0.0,0.0,0.0,4.46921694878e-11
41197,19199,19315,33.5325601649,0.0,0.0,0.0,7.66633748626e-12
41198,19199,20231,68.1714024287,0.0,0.0,0.0,1.55855972631e-11
41199,19200,20231,1.71959961331,0.0,0.0,0.0,3.93141201032e-13
41200,19200,18972,40.4048453986,0.0,0.0,0.0,9.2375046636e-12
41201,19201,19286,42.4001865645,0.0,0.0,0.0,9.69368691462e-12
41202,19201,21804,49.6277823986,0.0,0.0,0.0,1.13460865109e-11
41203,19202,20840,1.49728649664,0.0,0.0,0.0,3.42315156981e-13
41204,19202,19186,17.6292842774,0.0,0.0,0.0,4.03047194271e-12
41205,19203,19168,26.3327129964,0.0,0.0,0.0,6.02028189217e-12
41206,19203,21076,34.3213374001,0.0,0.0,0.0,7.84667064475e-12
41207,19204,20567,5.77117703571,0.0,0.0,0.0,1.31942776308e-12
41208,19204,19299,12.8324581795,0.0,0.0,0.0,2.93380388192e-12
41209,19205,21894,1.08669912018,0.0,0.0,0.0,2.48445157791e-13
41210,19205,19220,9.85344781549,0.0,0.0,0.0,2.25273155361e-12
41211,19205,19206,31.7788799203,0.0,0.0,0.0,7.2654046457e-12
41212,19206,19207,136.155913505,0.0,0.0,0.0,3.11284667365e-11
41213,19206,21894,31.8623140286,0.0,0.0,0.0,7.28447965903e-12
41214,19207,19206,136.155913505,0.0,0.0,0.0,3.11284667365e-11
41215,19207,19208,153.6213388,0.0,0.0,0.0,3.51214766348e-11
41216,19208,19906,1.61798610047,0.0,0.0,0.0,3.69909945238e-13
41217,19208,20867,241.594296894,0.0,0.0,0.0,5.52341785308e-11
41218,19209,20794,1.29063095743,0.0,0.0,0.0,2.95068805997e-13
41219,19209,19210,64.4974213371,0.0,0.0,0.0,1.47456381658e-11
41220,19210,20794,64.9728141782,0.0,0.0,0.0,1.48543242291e-11
41221,19210,19316,41.1703907002,0.0,0.0,0.0,9.4125264518e-12
41222,19210,18936,94.3665233397,0.0,0.0,0.0,2.15744223456e-11
41223,19211,19923,1.40345820268,0.0,0.0,0.0,3.20863786622e-13
41224,19211,21392,37.5991577562,0.0,0.0,0.0,8.59605801468e-12
41225,19211,19205,86.6403181111,0.0,0.0,0.0,1.9808028832e-11
41226,19212,19213,60.8570372665,0.0,0.0,0.0,1.39133601432e-11
41227,19213,19097,47.4243130192,0.0,0.0,0.0,1.08423212207e-11
41228,19213,20910,117.041417033,0.0,0.0,0.0,2.67584401082e-11
41229,19213,19212,60.8570372665,0.0,0.0,0.0,1.39133601432e-11
41230,19214,21101,1.36220214451,0.0,0.0,0.0,3.11431674556e-13
41231,19214,21018,13.1947260235,0.0,0.0,0.0,3.01662689152e-12
41232,19215,21105,1.40971043192,0.0,0.0,0.0,3.22293194312e-13
41233,19215,19034,39.0948288984,0.0,0.0,0.0,8.93800386336e-12
41234,19216,21032,1.43436826097,0.0,0.0,0.0,3.27930558063e-13
